target,a,b,c,d
upavIwa,yajFasUwra,muni,svAXyAya,yajamAna
mOna,wURNIM,wURNIM,pAyasa,sAmiXenI
AveSika,Aganwu,gAXeya,brahmavAxin,sani
ajina,kqwwi,arhaNA,nivApa,paricAyya
saBAswAra,saBya,yAyajUka,paricAyya,Opavaswa
yAjaka,qwvij,bIjya,wApasa,sWANdila
Srowriya,CAnxasa,syAxvAxin,sAMnAyya,AveSika
sOgawa,SUnyavAxin,sWaNdilaSAyin,parivrAj,vESeRika
snAwaka,ApluwavrawI,upacAyya,viXi,sawyavAk
vAdava,xvijAwi,syAxvAxin,ApluwavrawI,uxvAha
XAyyA,sAmiXenI,upAwyaya,naRtAgni,havis
cArvAka,lOkAyawika,namasyA,guru,brahmavarcasa
upAsanA,varivasyA,jEminIya,pqWagAwmawA,Arhaka
paryeRaNA,gaveRaNA,krama,wapaHkleSasaha,vIrahan
pArASarya,vyAsa,BAva,pArikAfkRin,XAyyA
vivAha,uxvAha,kusumBa,vexAnwin,vrawin
brahmavarcasa,vqwwAXyayanarxXi,sawyavAk,aXyeRaNA,vIrahan
nirAkqwi,asvAXyAya,XAyyA,CAnxasa,vESeRika
akRapAxa,nEyAyika,kOSika,upAsanA,svAhA
BikRA,yAFcA,paramAnna,Axikavi,yajamAna
paripAtI,AnupUrvI,aByuwWAna,kalpa,prAWamakalpika
OlUkya,vESeRika,avakIrNin,sawyavawIsuwa,SuSrURA
upasparSa,Acamana,paviwra,saBAswAra,prAGUNaka
upasampanna,pramIwa,kApila,brahmavarcasa,Opavaswa
upavAsa,Opavaswa,japa,AveSika,paripAtI
pARaNda,sarvalifgin,paricAyya,sWaNdilaSAyin,prAcewas
prawipAxana,niryAwana,AcArya,wapaHkleSasaha,vaRatkqwa
Arhaka,syAxvAxin,wapaHkleSasaha,paramAnna,varNa
araNi,agnimanWa,gOrava,brahmasAyujya,naRtAgni
xURyA,varawrA,karNIraWa,sAman,karavAlikA
aByAsAxana,aByavaskanxana,SaNDa,xolA,pAnWa
gaNikA,XenukA,kumBa,upahAra,vAhinIpawi
kataka,akRa,pracakra,raWin,sqNi
amAwya,manwrin,gANdiva,caliwa,pariXisWa
senA,camU,cApa,aBiRafga,xvEXa
prakIrNaka,OSIra,uraHCaxa,vAja,yoxXq
laswaka,XanurmaXya,praBAva,haraNa,aBipanna
sAman,xAna,praXi,koSa,karNIraWa
kranxana,yoXasaMrAva,manwu,wala,AsAra
pawAkin,vEjayanwika,anujIvin,jafGAla,cakravarwin
muxgara,xruGaNa,sArvaBOma,xruGaNa,Awapawra
galoxxeSa,nigAla,avavAxa,bAla,piFjala
piNdikA,nABi,luTiwa,kUbara,SaNDa
GanAGana,praBinna,maxowkata,vaSA,rajas
niveSa,Sibira,syanxanAroha,akRaracaNa,anwa
lakRya,Saravya,ganwrI,Adambara,nqpAsana
jyA,SiFjinI,aBicara,heRA,javana
saKi,suhqx,yoXa,ajanya,jagara
pariGa,pariGAwana,wvariwa,sKaliwa,lUman
aSri,koti,vAhinIpawi,aXyakRa,sajjana
rakRivarga,anIkasWa,Asana,mAgaXa,raWika
nirmaxa,uxvAnwa,AjAneya,pucCa,sKaliwa
raWa,syanxana,karigarjiwa,nERkika,GatA
xolA,prefKA,pragraha,koNa,laswaka
gamana,prasWAna,paxmaka,pramANa,go
prAsa,kunwa,Asana,AXoraNa,sanxeSahara
goXA,wala,urasvaw,SaswrI,hreRA
sanXA,velA,ganwrI,paricara,aSvameXIya
warasvin,vikrAnwa,anxuka,pariGa,pUrNakumBa
asu,prANa,Apwa,yuxXa,yayu
sampax,Baga,rahasya,nqpa,kaSmala
womara,sarvalA,sOvixa,SIrRaNya,sEnika
prawimukwa,apinaxXa,kiSora,awyaya,sawrin
javana,javAXika,raNasafkula,saKi,uparakRaNa
xvEpa,vEyAGra,pASa,sahasrin,jewq
heRA,hreRA,kambalivAhyaka,vinIwa,kAlaXarma
xUwa,sanxeSahara,Salya,akRaracaNa,sawrin
kRoxa,cUrNa,vikrAnwa,vanxin,balavinyAsa
maxowkata,maxakala,sAhasra,lUman,kewana
gaNda,kata,raWin,sWiwi,anukAmIna
swuwipATaka,vanxin,aByAgama,magaXa,sawrin
prakRvedana,nArAca,piwqvana,jafGAkarika,sEnika
nERkika,rUpyAXyakRa,samiw,urasila,sahAya
aparAXa,Agas,asi,Sibira,yApyayAna
jafGAkarika,jAfGika,kalpa,karaSIkara,SibikA
samuwpiFja,piFjala,binxujAlaka,akRa,veNuka
agresara,puraHsara,carman,sajjana,kRvedA
waxAwva,wawkAla,apasarpa,vyUha,wowra
SIrRaNya,Siraswra,Apwa,paraSu,atanI
niryAwana,prawIkAra,boXakara,pqRTya,wumula
SAkwIka,Sakwihewika,PalakapANi,nirxeSa,SarAByAsa
cApa,iRvAsa,kanakAXyakRa,nABi,urasvaw
pawwisaMhawi,pAxAwa,Asana,kuFjara,Safku
IlI,karavAlikA,kaFcuka,nixeSa,vipawwi
pariswoma,praveNi,sArvaBOma,Cala,vEraniryAwana
sahas,SuRma,aSvameXIya,cAkrika,vArI
siwa,karka,kanakAlukA,akRaracuFcu,kiSora
afkuSa,sqNi,prawyAlIDa,UrjAwiSayAnviwa,kanakAlukA
moha,mUrCA,piNda,rAjyAfga,javAXika
koti,atanI,prasAxa,manxagAmin,sEnya
sanXi,vigraha,GatA,banXaswamBa,sArasana
parAsu,prApwapaFcawva,pawwi,raWyA,kavikA
bAhuja,rAjan,prawyAlIDa,Xanvan,upAsana
kANdavaw,kANdIra,vAja,saKya,SarAByAsa
aBicara,anuplava,prawyAlIDa,paxga,sawrin
vipawwi,vipax,xAna,nArAca,manWara
CurikA,asipuwrI,varmiwa,Amukwa,luTiwa
upahAra,upAyana,purohiwa,raWin,GoNA
ajanya,upasarga,piFjala,parAsu,urasvaw
Adambara,pataha,banXana,ciwA,libi
niRAxin,AXoraNa,nABi,wala,pqRTya
saMnaxXa,sajja,kiSora,SiRti,Safku
haraNa,suxAya,nigAla,BajamAna,SrI
cakravarwin,sArvaBOma,sArasana,praRTa,haswyAroha
wu,prakAra,vanxI,manWara,goXA
sawrin,gqhapawi,aXikAra,lAfgUla,vAlahaswa
kewana,kewu,kANdavaw,nERkika,asu
vayasya,savayas,raWagupwi,prABqwa,AlamBa
upAvqwwa,luTiwa,sAnwva,gANdiva,asihewi
xanwAvala,xanwin,aXikAfga,SarAsana,atanI
xAna,maxa,Bafga,pASa,atanI
Xanvin,aswrin,vAhinIpawi,aBipanna,nigada
kariSAvaka,kalaBa,nArAca,praNiXi,GANtika
jayana,jaya,KalIna,jIva,vinIwa
anukAmIna,kAmafgAmin,gajawA,AlAna,awiSakwiwA
SmaSAna,piwqvana,SaPa,rahasya,nEswriMSika
aBreRa,Xarma,kara,SaPa,BinxipAla
boXakara,vEwAlika,pIdana,kANdIra,AjAneya
koSa,koRa,xiRtAnwa,cakra,kANdIra
pArSvaBAga,pakRaBAga,vArabANa,sAhasra,syanxana
haTa,balAwkAra,sAhasra,paricara,naya
lAfgUla,pucCa,puroga,wumula,aByAsAxana
mAgaXa,magaXa,anuvarwana,manWara,womara
Bata,yoXa,aByamiwrIya,nigAla,vadavA
praxeSana,prABqwa,sajjanA,wAnwrika,boXakara
ASvIya,ASva,aXvaga,vEyAGra,vArabANa
urasvaw,urasila,lipwaka,sajjana,Sibira
kRvedA,siMhanAxa,maxowkata,caliwa,savyeRTa
BqfgAra,kanakAlukA,kakRyA,gANdiva,muxgara
sarvOGa,sarvasannahana,niRAxin,xiRtAnwa,rahasya
KalIna,kavikA,raWira,kanakAXyakRa,vyUhapArRNi
paraSvaXa,svaXiwi,PalakapANi,kata,balavinyAsa
jFAwasixXAnwa,wAnwrika,XenukA,xvEpa,sAnwva
vyUhapArRNi,prawyAsAra,jyOwiRika,Urjasvin,avamarxa
AyuXika,kANdapqRTa,vEjayanwika,BreRa,awijava
prAjiwq,savyeRTa,XanurmaXya,SaNDa,prefKA
anxuka,nigada,javana,jafGAkarika,proWa
GatanA,GatA,yUWanAWa,GatanA,AswaraNa
nemi,praXi,hewi,Pala,caliwa
raWyA,raWakatyA,GoNA,cAkrika,akRAgrakIlaka
SarAByAsa,upAsana,karata,pawwisaMhawi,uparakRaNa
Asana,skanXaxeSa,pucCa,yanwq,pqRTya
parABUwa,parAjiwa,sEnya,yAnamuKa,SarAByAsa
vamaWu,karaSIkara,aByamiwrIya,kara,sAxin
wowra,veNuka,kUbara,koNa,pragraha
vAhana,yAna,miwra,kuNapa,jewq
XUli,rajas,jIva,KalIna,yApyayAna
varRavara,SaNDa,SiFjinI,prasahya,xaNda
uwsAha,praBAva,anucara,sapawna,ciwyA
carman,Palaka,vipawwi,prAdvivAka,Sakwihewika
puroXas,purohiwa,xolA,aSvameXIya,raWika
bAhuyuxXa,niyuxXa,heRA,miWaH,prABqwa
pAraSava,pASa,anuvarwana,gajawA,lipi
Urjasvin,Urjasvala,upagraha,kArA,niryAwana
akRAgrakIlaka,aNi,vanxin,prasU,muxgara
Opayika,nyAyya,ajihmaga,kalaBa,vikrama
praXAna,mahAmAwra,aXiRTAna,prawyAsAra,XUli
awyaya,niXana,kaFcukin,ajanya,BinxipAla
Sakata,anas,varUWa,haswyAroha,sAhasra
AjAneya,kulIna,siMhanAxa,aXikAfga,morvI
AlIDa,prawyAlIDa,upAyana,prawIhAra,velA
caliwa,pracakra,jaya,nqpAsana,sajjanA
libi,lipi,wAnwrika,AlAna,rUpyAXyakRa
BinxipAla,sqga,yUWanAWa,xURyA,AsAra
manxagAmin,manWara,maxa,balavinyAsa,manxagAmin
senArakRa,sEnika,avamarxa,syanxanAroha,kanakAXyakRa
anujIvin,arWin,vEyAGra,vAmI,KalIna
BreRa,vyasana,nemi,AlIDa,AyuXIya
vIkASa,vijana,kambalivAhyaka,xvEpa,Sibira
gajawA,hAswika,Urjasvin,libi,vArabANa
praxrAva,uxxrAva,syanxanAroha,kRoxa,cakra
vAlaXi,vAlahaswa,jafGAla,manwrajA,syanxanAroha
suprayogaviSiKa,kqwahaswa,jFAwasixXAnwa,AsAra,yoXasaMrAva
visramBa,viSvAsa,mUrCA,balavinyAsa,kANdIra
uparakRaNa,sajjana,goXA,pIdana,pUrNakumBa
XU,yAnamuKa,nEswriMSika,gama,GANtika
sEnya,sEnika,wala,kalApa,xolA
yUWapa,yUWanAWa,vyUDakafkata,rakRivarga,balAwkAra
prAdvivAka,akRaxarSaka,Siras,AsAra,rakRivarga
kANda,OSIra,manwu,pariXisWa,SAkwIka
prawApa,praBAva,pAxAwa,upAyana,varmiwa
syanxanAroha,raWin,pASa,vIra,Awapawra
banXaswamBa,AlAna,SaswrAjIva,jIvanORaXa,punar
pakRa,vAja,SibikA,kANdavaw,kareNu
nihanana,viSara,Sibira,IlI,prawyAsAra
sahasrin,sAhasra,prawIhAra,aXvanIna,pAMsu
wanuwra,uraHCaxa,kareNu,vIkASa,nibarhaNa
kanakAXyakRa,BOrika,xvEpa,Awapawra,kiSora
paxmaka,binxujAlaka,apinaxXa,binxujAlaka,AyuXa
vadavA,vAmI,AlIDa,jEwra,jAfGika
nEswriMSika,asihewi,Sakata,SibikA,pawAkA
Apwa,prawyayiwa,senAnI,aByamiwrINa,carmin
prasaraNa,AsAra,prAdvivAka,nABi,avamarxa
dayana,karNIraWa,sqNi,go,viXA
lipwaka,xigXa,saKya,aXvanya,haraNa
anuroXa,prasAxa,sapawna,prasahya,bAhuyuxXa
aXikAra,prakriyA,gANdiva,samuwpiFja,proWa
kANda,vAjin,kilbiRa,apaskara,ciwA
sApwapaxIna,saKya,bali,niRafga,sApwapaxIna
BaxrakumBa,pUrNakumBa,ciwi,asuXAraNa,kArA
aXikAfga,sArasana,asuXAraNa,rUpyAXyakRa,niryAwana
carmin,PalakapANi,sarvalA,kumBa,nemi
jewq,jiRNu,yanwq,lakRa,prasiwi
Cala,sKaliwa,galoxxeSa,pArWiva,manwu
vinIwa,sAXuvAhin,guNa,manWara,anas
kumBa,piNda,nEswriMSika,avamarxa,bali
xveRaNa,sapawna,vAlahaswa,varman,iRvAsa
cAkrika,GANtika,lipi,pracakra,kRawriya
raNasafkula,wumula,uxxrAva,garjiwa,parABUwa
samarWana,sampraXAraNA,urasila,Xanvan,SIrRaka
jafGAla,awijava,vinIwa,yAna,xigXa
XOriwaka,Askanxiwa,hAswika,kata,miWaH
aByamiwrINa,aByamiwrIya,pravahaNa,viSvAsa,raWira
vanxI,upagraha,kalpanA,karavAlikA,vallaBa
karigarjiwa,Adambara,balavinyAsa,raWagupwi,heRA
yApyayAna,SibikA,vArI,manwrajA,ASvIya
varUWa,raWagupwi,sApwapaxIna,Apax,prakriyA
pqRTya,sWOrin,vijaya,pariGa,UrjAwiSayAnviwa
naRta,wirohiwa,cUrNa,pIdana,uxvAnwa
akRaracuFcu,leKaka,varRavara,lakRya,maxakala
vArabANa,kaFcuka,BaxrakumBa,kanakAXyakRa,sanxeSahara
upAsafga,wUNI,Safku,sqga,rARtra
aXvaga,paWika,vadavA,Urjasvala,sAhasra
pIdana,avamarxa,vArI,sAhasa,Adambara
rAj,suwa,kavikA,bqMhiwa,suxAya
jewq,jEwra,sampraXAraNA,aSvAroha,xAna
Awapawra,Cawra,XanuRmaw,wumula,visramBa
bAla,kiSora,piNda,bAla,jyOwiRika
gaNaka,mOhUrwika,xvArapAla,koti,amAwya
raWin,raWira,asiXenukA,svaru,sarvalA
kUbara,yuganXara,mahAmAwra,xolA,AswaraNa
Salya,Safku,kumBa,gaNikA,ASva
banXanAlaya,kArA,warasvin,pakRaBAga,maNdalAgra
aSvameXIya,yayu,kANdIra,anas,GanAGana
Ayus,jIviwakAla,vEjayanwika,anukAmIna,apayAna
raWAfga,apaskara,skanXaxeSa,raWin,jEwra
vyUha,balavinyAsa,prawyAsAra,Sibira,praharaNa
vikrama,awiSakwiwA,aBicara,Cawra,vyUhapArRNi
gANdIva,gANdiva,asu,cAra,jAfGika
paxika,paxaga,akRa,awyaya,urasila
banXana,pASa,rAjyAfga,pASa,kambalivAhyaka
Sava,kuNapa,pracakra,punar,bAhuyuxXa
miWaH,rahasya,upAyana,BOrika,suxAya
sAnwva,sAman,XU,kUbara,pucCa
praNiXi,yaWArhavarNa,vanxin,pramANa,praXAna
kalaha,samiw,vEjayanwika,pArSvaBAga,samuwpiFja
sWApawya,sOvixa,haraNa,BreRa,Bata
vArI,gajabanXanI,asipuwrI,wowra,senAnI
vAhinIpawi,senAnI,koNa,prasaBa,sapawna
SaPa,Kura,prakriyA,yAna,sevaka
warasvin,vegin,awyaya,manwrajA,pataha
jIvAwu,jIvanORaXa,sanxrAva,sAman,Sakata
karavAla,kqpANa,atanI,wArkRya,raWika
BAgaXeya,bali,AyuXIya,kavikA,Adambara
aSvAroha,sAxin,luTiwa,pariswoma,atanI
rARtra,cakra,bala,bali,upasarga
rAjyAfga,prakqwi,ciwA,prasaraNa,jIvAwu
paricara,pariXisWa,uwsAha,praXAna,GANtika
ganwrI,kambalivAhyaka,miwra,pakRaBAga,CurikA
SiRti,nixeSa,aByamiwrya,raWa,manwrin
nqpAsana,BaxrAsana,vAhinIpawi,cAra,hreRA
prawIhAra,kRanwrq,kata,anukAmIna,pawwi
vallaBa,aXikqwa,womara,wurafga,anuroXa
kalpanA,sajjanA,piFjala,SmaSAna,amAwya
aSva,wurafgama,spaSa,parABUwa,vEwAlika
aBiRafga,Bafga,hreRA,Apwa,sqga
ciwA,ciwi,wUNa,sajjanA,sanXi
asuXAraNa,jIva,varNa,vAhinIpawi,samuwpiFja
GoNA,proWa,kariNI,SarAsana,SawAfga
uxumbara,xvyaRta,vanXyA,KaNdika,paNiwavya
karIra,kumBa,afgAraXAnikA,loRta,uKya
loRta,leRtu,sIwA,pUwa,hiNdIra
BqRtayava,XAnA,ariRta,mOkwika,nEpAlI
ApIna,UXas,uxUKala,viwunnaka,ArAlika
aXiSrayaNI,cullI,rasAFjana,akRa,garxaBa
ArAlika,sUpakAra,nEmeya,SqfgiNI,yAvaka
kavala,grAsa,sinXuja,vrIhi,Pala
gaveXu,gaveXukA,aSmanwa,xaNdAhawa,sWAlI
xaNdaviRkamBa,kuTara,paryuxaFcana,sasyaSUka,kExArika
sinXuja,SIwaSiva,paNyAjIva,kolaka,vrIhi
kArRika,kArRApaNa,upalA,nikuFcaka,wEjasa
susaMskqwa,prayaswa,karamBa,nAla,nAga
nAgasamBava,sinxUra,sawyAnqwa,krAyaka,avi
qwa,uFCaSila,kusumBa,Saswra,Batiwra
warRa,uxanyA,kata,parIvarwa,paxmarAga
kqsara,wilOxana,sAsnA,bIjAkqwa,pala
kolaka,marIca,rIwipuRpa,Arxraka,rAsaBa
veRavAra,upaskara,Sigru,piTara,yAmuna
pAkya,bida,pAkya,veRavAra,bahulIkqwa
SAka,Sigru,kAlA,qwa,bahusUwi
wArkRyaSEla,rasagarBa,sumana,rasAlA,pInoXnI
ArRaBya,RaNdawAyogya,usrA,hAyana,Kaniwra
gopawi,RaNda,XOreya,kAnxavika,masUra
xamya,vawsawara,amala,payas,viSvaBeRaja
XavalA,SabalI,CAgI,kqsara,vaNigBAva
aNu,hAyana,svAxu,Sqfgabera,xruvaya
lAfgala,goxAraNa,kqwwi,sumana,sukarA
siMhANa,maNdUra,loRta,svexanI,BANda
ulUKala,uxUKala,avawokA,prANa,kamalowwara
acaNdI,sukarA,OmIna,wowra,vijila
mAwulAnI,BafgA,gopawi,upasampanna,OmIna
loRtaBexana,kotiSa,sawyAnqwa,gaveXukA,vaSA
kRAra,kAca,kafgu,warpaNa,Sakqwkari
vahniSiKa,mahArajana,acaNdI,rUpya,RaNdawAyogya
cakRuRyA,kulAlI,varXamAnaka,Svavqwwi,ISA
wiwau,cAlanI,gokula,nAla,ayogra
wvakkRIrI,vaMSarocanA,nEpAlI,XOreya,PANiwa
sawyApana,sawyAkqwi,xaXisakwu,kambi,cakrIvaw
ArakUta,rIwi,kqRta,PANiwa,bahulIkqwa
siwA,upalA,warRa,mAwulAnI,ArRaBya
niGasa,nyAxa,jemana,sawyAnqwa,kqRIvala
krAyaka,krayika,XAnA,SaSaloman,bIjAkqwa
gavyA,gowrA,sIwA,vqxXyAjIva,kulmARa
kalamba,kadamba,pAraxa,lohiwaka,krayavikrayaka
xvisIwya,xviguNAkqwa,praseva,Sivaka,wilapiFja
ekaXurAvaha,ekaXura,varXamAnaka,wqpwi,ulmuka
mafgalyaka,masUra,wuRa,XAnya,prayaswa
xugXa,kRIra,vqxXokRa,yOwava,kiliFjaka
wilapeja,wilapiFja,uraBra,warRa,goviR
PANiwa,KaNdavikAra,pAyya,grAsa,wrikatu
ganXaka,sOganXika,BUwakeSa,vawsa,kAca
sIwya,halyavaw,pravAla,hala,buBukRA
wanwuBa,kaxambaka,mafgalyaka,kuswumbaru,ganXASman
KajAkA,kambi,niyama,rUpya,nAla
ajA,CAgI,kulAlI,yOwava,yavakRAra
kRumA,umA,paNya,karamBa,prasWa
pita,kaNdola,Svewa,bida,jaraxgava
SamyA,yugakIlaka,aBraka,sagXi,praseva
praRTavAh,yugapArSvaga,KalexAru,kuswumbaru,hariwaka
jIvikA,vArwA,nisrAva,catakASiras,vArXuRi
uRtra,mahAfga,svarjikAkRAra,kuswumbaru,RaNda
gomin,gavISvara,goxAraNa,vikraya,vikreya
vaNijyA,vANijya,gorasa,vqxXyAjIva,qwa
snigXa,masqNa,ISA,granWika,viSvaBeRaja
xroNakRIrA,xroNaxugXA,sinxUra,kAravI,vikrayika
vikraya,vipaNa,rOmaka,makuRTaka,AbanXa
kaMsa,pAnaBAjana,grAsa,sOvarcala,picu
qRaBa,ukRan,vasuka,pORpaka,nAgasamBava
SoNarawna,lohiwaka,gokula,lAfgalaxaNda,yavakRAra
gargarI,manWanI,nAdI,mahAnasa,xAwra
umya,OmIna,SoXiwa,gomin,bARpikA
vaNigBAva,sawyAnqwa,avaxAraNa,CawrA,makuRTaka
SiKigrIva,viwunnaka,sasyaSUka,lAfgalaxaNda,XavalA
praseva,syUwa,aNavIna,manogupwA,hiraNya
wqwIyAkqwa,wriguNAkqwa,uxUKala,aSmaja,swamba
Sqfgabera,Arxraka,sasyamaFjarI,cipitaka,kApowAFjana
hiraNya,koSa,piNda,wEjasa,vyoRa
manWaxaNdaka,manWAna,karRaka,piRtaka,busa
avanwisoma,kuFjala,sOvarcala,gavISvara,Sqfgabera
kunatI,manogupwA,maNi,vikreya,xArvikA
aSanAyA,kRuw,wemana,SUlAkqwa,vehaw
vqxXokRa,jaraxgava,wulyapAna,Svavqwwi,kRAra
ayas,kAlAyasa,wiwau,piTara,sOganXika
prasPotana,SUrpa,SAkaSAkata,SamyA,Xenu
kaNA,jIraka,sEnXava,pASupAlya,raFjana
vasuka,rOmaka,xroNaxugXA,sravaxgarBA,wrapu
baRkayaNI,ciraprasUwA,UXas,loha,busa
wilya,wElIna,ulUKala,xvisIwya,sEnXava
sarvaXurINa,sarvaXurAvaha,umya,SamI,nEpAlI
upasampanna,praNIwa,BissA,jaraxgava,gavyA
xurvarNa,rajawa,SoXiwa,awasI,puRparasa
pIvaraswanI,pInoXnI,arWya,kRAra,ilA
Svavqwwi,sevA,girija,pOli,ajA
swamba,gucCa,AranAlaka,SarAva,pIvaraswanI
sasyaSUka,kiMSAru,praRTOhI,vArwA,alAwa
SaSorNa,SaSaloman,SiKigrIva,loRta,uxUKala
uKA,piTara,kaMsa,Kaniwra,xurvarNa
AbanXa,yowra,nAgasamBava,vasna,goXUma
vaSA,vanXyA,SAka,PelA,kRewra
upwakqRta,bIjAkqwa,aBraka,makaranxa,sarvaXurINa
yavakRAra,yavAgraja,paNiwavya,kusIxa,nikuFcaka
BUwakeSa,golomI,sinxUra,kambala,SIwaSiva
uKya,pETara,anqwa,Sigruja,hasanwI
nAla,nAdI,sravaxgarBA,suKasanxohyA,wulyapAna
busa,kadafgara,Palawrika,loha,kotiSa
ayogra,musala,mayuRTaka,paryApwa,sarRapa
sahaBojana,sagXi,sarRapa,vawsa,baRkayaNI
Kaniwra,avaxAraNa,maNika,musala,kambi
SAkaSAkata,SAkaSAkina,ArRaBya,piccata,sasyamaFjarI
ariRta,kAlaSeya,praseva,yAvaka,pAyya
xIpaka,yava,naswiwa,PelA,rUpya
wowra,woxana,xurvarNa,kqRika,gavISvara
vArXURika,kusIxika,paryuxaFcana,vaMSarocanA,ASu
PelA,BukwasamujJiwa,SarAva,Svewa,sErika
pOli,Apakva,wulyapAna,karamBa,xAruhaswaka
aSmaja,arWya,niGasa,rucaka,wAla
kiliFjaka,kata,BafgA,kafgu,vapra
Ala,piFjara,upaniXi,cAlanI,siwA
yAvaka,kulmARa,SaSaloman,pita,ORaNa
BAfgIna,Bafgya,kaNiSa,mARya,XavalA
niyama,parixAna,amala,vqRaBa,hAlika
rafga,piccata,kulmARa,sammqRta,ekaXurINa
kIlaka,Sivaka,mukwA,Bojana,kalAya
wEjasa,loha,SaSaloman,vANijya,pInoXnI
yOwava,pAyya,kuwU,xraviNa,kqRi
kanxu,svexanI,nisrAva,vAsiwa,kalAya
qxXa,Avasiwa,Sqfgabera,kambi,BUwakeSa
xagXikA,BissatA,cAlanI,uFCaSila,ArakUta
KaNdika,sawInaka,Avasiwa,caNaka,kanxu
nikAmam,iRta,vaNijyA,kqRi,rajawa
vijila,picCila,BrARtra,warpaNa,wiwau
vehaw,garBopaGAwinI,kArRika,vaNigBAva,kaNdola
nirISa,kutaka,AnXasika,gavISvara,ganXaka
kApowAFjana,yAmuna,upaskara,kAca,kIlaka
kExAraka,kExArika,wilOxana,Sivaka,acaNdI
avawokA,sravaxgarBA,pAkasWAna,Uruja,vanXyA
meRa,meDra,vaNijyA,kiMSAru,SAkaSAkina
ulmuka,alAwa,nyAsa,lAfgalaxaNda,sawyAkqwi
SuNTI,mahORaXa,SamyA,nyAsa,kqRi
cipitaka,pqWuka,vipaNa,garBopaGAwinI,rOmaka
wulyapAna,sapIwi,upaskara,ABIra,kRewrAjIva
praRTOhI,bAlagarBiNI,bIjAkqwa,gaveXu,vANijya
pUwa,bahulIkqwa,xugXa,kalAya,golomI
wuRa,XAnyawvac,xaNdAhawa,pippalImUla,OmIna
kanaka,mahArajawa,bida,ISA,rOmaka
galakambala,sAsnA,jaraNa,acaNdI,xvisIwya
vallava,gosafKya,abXikaPa,SiwaSUka,pAkasWAna
pravAla,vixruma,koSa,kiliFjaka,RaNdawAyogya
vqkRAmla,cukra,sammqRta,niRka,BafgA
kuwU,kqwwi,sukarA,kiMSAru,xaNdaviRkamBa
uRNikA,waralA,baRkayaNI,svexanI,Sqfgabera
capala,sUwa,Avasiwa,awasI,masqNa
karRaka,kRewrAjIva,svexanI,cipitaka,kaNdola
naswiwa,nasyowa,xroNaxugXA,sarvaXurAvaha,mArjiwA
pareRtukA,bahusUwi,kambi,leRtu,suvarNa
SUlya,Batiwra,warNaka,girija,kExArika
Cagalaka,swaBa,mafgalyaka,Sigruja,naswiwa
SarAva,varXamAnaka,maXu,kalamba,wuRa
sumana,goXUma,rafga,granWika,anqwa
bARpikA,pqWu,siwA,harimanWaka,vilepI
harimanWaka,caNaka,pAyya,ArAlika,nIvAra
maNi,vasu,awasI,sammqRta,SarAva
kRewra,karaNa,iRta,hiNdIra,SiwaSUka
xAruhaswaka,warxU,nirISa,priyafgu,meXi
BakRyakAra,ApUpika,CAgI,vaNigBAva,syUwa
sikWaka,maXUcCiRta,vaNijyA,kuFjala,prApwi
rucaka,sOvarcala,kArRApaNa,kqsara,vyaFjana
niRka,pala,wvakkRIrI,cipitaka,picCila
suKasanxohyA,suvrawA,sOvarcala,KaNdavikAra,Svewamarica
maNika,aliFjara,parIvarwa,SarkarA,PelA
aNavIna,aNavya,aBiRuwa,nyAsa,nAla
kaSipu,xIxivi,loRtaBexana,sOvarcala,akRa
mARya,mARINa,sErika,ApIna,pAraxa
sammqRta,SoXiwa,vaNijyA,SamyA,havis
BAjana,amawra,wulyapAna,kadafgara,goXana
Svewamarica,Sigruja,rAmaTa,pAyya,hariwAlaka
vawsa,warNaka,xAman,sawInaka,leRtu
pawrAfga,rakwacanxana,SaSorNa,mAsara,sukarA
Palawrika,wriPalA,aSmagarBa,lABa,PANiwa
pORpaka,kusumAFjana,karRa,bida,vqRa
kusIxa,arWaprayoga,Kaniwra,SAkaSAkata,karkarI
sasyamaFjarI,kaNiSa,Arxraka,Gata,mafgalyaka
paripaNa,nIvI,anaduh,vAsiwa,kulAlI
vyoRa,wrikatu,girija,vikraya,svexanI
rAsaBa,vAleya,ArRaBya,kqRNikA,wilya
piRtaka,apUpa,BAga,amala,sAXana
suraBi,arjunI,aXika,pita,varavarNinI
nyAsa,upaniXi,vasuka,avakraya,wilOxana
xAman,sanxAna,SarAva,SamyA,yogeRta
BrARtra,ambarIRa,ArRaBya,Xenu,xaNdaviRkamBa
xAwra,laviwra,kulAlI,ISA,yavAgraja
Uruja,arya,sUwa,yugakIlaka,yogeRta
piRtapacana,qjIRa,mOkwika,sawyafkAra,kalaSa
xyumna,hiraNya,sinXuja,KaNdika,yOwava
prApwi,Pala,kqwwi,sarpis,rOmaka
mArjiwA,rasAlA,sikWaka,ciraprasUwA,AjIva
niSAhvA,varavarNinI,Xenu,girija,kExArya
sIsaka,nAga,karparI,BUwakeSa,SaSorNa
pippalImUla,granWika,hareNu,nIvAra,vaNij
Pena,hiNdIra,BUwakeSa,sOganXika,SimbA
kqRi,anqwa,acaNdI,usrA,manWanI
maXu,kROxra,edaka,SiwaSUka,xagXikA
girija,aBraka,rajawa,BUwakeSa,sevA
wUla,picu,SUlAkqwa,suKasanxohyA,kqwwi
havis,Ajya,sagXi,BqRtayava,pipAsA
vikrewq,vikrayika,pqWuka,goXUma,Xurvaha
